value,label
dessert restaurant,Dessert Restaurant
dessert shop,Dessert Shop
detention center,Detention Center
diabetes center,Diabetes Center
diagnostic center,Diagnostic Center
dialysis center,Dialysis Center
diamond buyer,Diamond Buyer
diamond dealer,Diamond Dealer
diaper service,Diaper Service
digital printer,Digital Printer
dinner theater,Dinner Theater
dirt supplier,Dirt Supplier
discount store,Discount Store
discount supermarket,Discount Supermarket
distribution service,Distribution Service
district attorney,District Attorney
district council,District Council
district justice,District Justice
district office,District Office
dive club,Dive Club
dive shop,Dive Shop
diving center,Diving Center
diving service,Diving Service
divorce attorney,Divorce Attorney
divorce service,Divorce Service
dock builder,Dock Builder
dodge dealer,Dodge Dealer
dog breeder,Dog Breeder
dog cafe,Dog Cafe
dog park,Dog Park
dog trainer,Dog Trainer
dog walker,Dog Walker
dojo restaurant,Dojo Restaurant
doll store,Doll Store
dollar store,Dollar Store
domestic airport,Domestic Airport
dominican restaurant,Dominican Restaurant
donations center,Donations Center
donut shop,Donut Shop
door manufacturer,Door Manufacturer
door shop,Door Shop
door supplier,Door Supplier
door warehouse,Door Warehouse
drafting service,Drafting Service
drainage service,Drainage Service
drama school,Drama School
drama theater,Drama Theater
drawing lessons,Drawing Lessons
dress shop,Dress Shop
drilling contractor,Drilling Contractor
driveshaft shop,Driveshaft Shop
driving school,Driving School
drone shop,Drone Shop
drum school,Drum School
drum store,Drum Store
dry cleaner,Dry Cleaner
ducati dealer,Ducati Dealer
dude ranch,Dude Ranch
dumpling restaurant,Dumpling Restaurant
durum restaurant,Durum Restaurant
dutch restaurant,Dutch Restaurant
dvd store,Dvd Store
dye store,Dye Store
dynamometer supplier,Dynamometer Supplier
eclectic restaurant,Eclectic Restaurant
ecological park,Ecological Park
ecologists association,Ecologists Association
economic consultant,Economic Consultant
ecuadorian restaurant,Ecuadorian Restaurant
education center,Education Center
educational consultant,Educational Consultant
educational institution,Educational Institution
egg supplier,Egg Supplier
egyptian restaurant,Egyptian Restaurant
electrical engineer,Electrical Engineer
electrical substation,Electrical Substation
electrical wholesaler,Electrical Wholesaler
electronic engineer,Electronic Engineer
electronics company,Electronics Company
electronics engineer,Electronics Engineer
electronics exporter,Electronics Exporter
electronics manufacturer,Electronics Manufacturer
electronics store,Electronics Store
electronics wholesaler,Electronics Wholesaler
elementary school,Elementary School
elevator manufacturer,Elevator Manufacturer
elevator service,Elevator Service
embossing service,Embossing Service
embroidery service,Embroidery Service
embroidery shop,Embroidery Shop
emergency room,Emergency Room
emergency training,Emergency Training
employment agency,Employment Agency
employment attorney,Employment Attorney
employment center,Employment Center
employment consultant,Employment Consultant
energy supplier,Energy Supplier
engineering consultant,Engineering Consultant
engineering school,Engineering School
english restaurant,English Restaurant
entertainment agency,Entertainment Agency
envelope supplier,Envelope Supplier
environment office,Environment Office
environmental consultant,Environmental Consultant
environmental engineer,Environmental Engineer
environmental organization,Environmental Organization
episcopal church,Episcopal Church
equestrian club,Equestrian Club
equestrian facility,Equestrian Facility
equestrian store,Equestrian Store
equipment exporter,Equipment Exporter
equipment importer,Equipment Importer
equipment supplier,Equipment Supplier
eritrean restaurant,Eritrean Restaurant
erotic massage,Erotic Massage
escrow service,Escrow Service
espresso bar,Espresso Bar
estate appraiser,Estate Appraiser
estate liquidator,Estate Liquidator
ethiopian restaurant,Ethiopian Restaurant
ethnographic museum,Ethnographic Museum
european restaurant,European Restaurant
evangelical church,Evangelical Church
evening school,Evening School
event planner,Event Planner
event venue,Event Venue
excavating contractor,Excavating Contractor
exhibition planner,Exhibition Planner
extremadurian restaurant,Extremadurian Restaurant
eyebrow bar,Eyebrow Bar
eyelash salon,Eyelash Salon
fabric store,Fabric Store
fabric wholesaler,Fabric Wholesaler
fabrication engineer,Fabrication Engineer
facial spa,Facial Spa
falafel restaurant,Falafel Restaurant
family counselor,Family Counselor
family restaurant,Family Restaurant
farm bureau,Farm Bureau
farm school,Farm School
farm shop,Farm Shop
farmers market,Farmers Market
farrier service,Farrier Service
fashion designer,Fashion Designer
fastener supplier,Fastener Supplier
fax service,Fax Service
federal police,Federal Police
feed manufacturer,Feed Manufacturer
feed store,Feed Store
fence contractor,Fence Contractor
fencing salon,Fencing Salon
fencing school,Fencing School
ferrari dealer,Ferrari Dealer
ferris wheel,Ferris Wheel
ferry service,Ferry Service
fertility clinic,Fertility Clinic
fertility physician,Fertility Physician
fertilizer supplier,Fertilizer Supplier
festival hall,Festival Hall
fiat dealer,Fiat Dealer
fiberglass supplier,Fiberglass Supplier
figurine shop,Figurine Shop
filipino restaurant,Filipino Restaurant
filtration plant,Filtration Plant
finance broker,Finance Broker
financial advisor,Financial Advisor
financial audit,Financial Audit
financial consultant,Financial Consultant
