,ID,NAMA,KOORDINAT,ALAMAT,RATING,JML_RATING,TAG_GOOGLE,KELURAHAN,KECAMATAN,KOTA,PROVINSI,TIPE,IDCARI,DATA_UPDATE
288,289,Badan Perwakilan Desa Argomulyo,"-7.6640944, 110.4620015","8FP6+9R6, Jl. Pakem - Kalasan",3.0,1,Kantor Pemerintah,ARGOMULYO,CANGKRINGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,55839,2024-05-29 09:05:37
289,290,argomulyo cangkringan sleman yogyakarta,"-7.6636405, 110.4698273","Unnamed Road, Jl. Dukuh Jiwan",4.4,73,Kafe,ARGOMULYO,CANGKRINGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,55839,2024-05-29 09:05:37
290,291,PT. Digital Registra Indonesia,"-7.7486302, 110.3741713",Jl. Lempongsari Raya No.39C,4.8,10,Layanan Web Hosting,ARGOMULYO,CANGKRINGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,55839,2024-05-29 09:05:37
291,292,Kantor Padukuhan Cangkringan,"-7.6755945, 110.4659149","8FF8+Q97, RT.3/RW.20",4.8,4,Balai masyarakat,ARGOMULYO,CANGKRINGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,55839,2024-05-29 09:05:37
292,293,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Bantul,"-7.904749, 110.3484298","Komplek II Perkantoran, Jl. Lkr. Timur",4.1,721,Kantor Catatan Sipil,BANTUL,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,55940,2024-05-29 09:05:39
293,294,Sekretariat Daerah Kabupaten Bantul,"-7.8866254, 110.3278469",Jl. Wolter Monginsidi No.1,4.7,11,Kantor Pemerintahan Daerah,BANTUL,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,55940,2024-05-29 09:05:39
294,295,Dinas Pertanahan dan Tata Ruang Kabupaten Bantul,"-7.90509, 110.3495001","38VX+XR6, Complex II Office Bantul regency, Jl. East Rim",3.8,17,Kantor Pemerintahan Daerah,BANTUL,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,55940,2024-05-29 09:05:39
295,296,Kantor Bupati Bantul,"-7.887293, 110.32741",487G+3XM,4.1,93,Kantor Pemerintahan Daerah,BANTUL,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,55940,2024-05-29 09:05:39
296,297,Komisi Pemilihan Umum ( KPU ) Kabupaten Bantul,"-7.8997706, 110.3218381","482C+3PW, Jl. Kh Wahid Hasyim",3.8,37,Kantor Pendaftaran Pemilih,BANTUL,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,55940,2024-05-29 09:05:39
297,298,Kantor DESA HARGOWILIS,"-7.8163971, 110.116487","54M8+CHX, DESA",5.0,2,Kantor Pemerintah Distrik,HARGOWILIS,KOKAP,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,56474,2024-05-29 09:05:44
298,299,Balai Desa Hargowilis Kokap Kulon Progo,"-7.816394, 110.1164895",54M8+CHX,4.7,3,Kantor Pemerintah,HARGOWILIS,KOKAP,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,56474,2024-05-29 09:05:44
299,300,Pemerintah Kalurahan Pengkol,"-7.8781353, 110.5985855","4HCX+PCW, Unnamed Road",4.9,8,Kantor Pemerintah,PENGKOL,NGLIPAR,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,56851,2024-05-29 09:05:45
