ID,PROVINCE,CITY,DISTRICT,WARD,POSTAL_CODE,DATA_UPDATE
27420,LAMPUNG,KAB. MESUJI,MESUJI,WIRALAGA II,34912,
27421,PAPUA,KAB. BIAK NUMFOR,SAMOFA,SNERBO,98156,
27422,LAMPUNG,KAB. TULANG BAWANG,RAWA PITU,PANGGUNG MULYO,34672,
27423,KALIMANTAN BARAT,KAB. KAPUAS HULU,BATANG LUPAR,SUNGAI AJUNG,78766,
27424,SULAWESI TENGAH,KAB. MOROWALI,BUNGKU TENGAH,BENTE,94911,
27425,SUMATERA UTARA,KAB. SIMALUNGUN,PANEI,SIGODANG,21161,
27426,JAWA BARAT,KOTA SUKABUMI,WARUDOYONG,DAYEUHLUHUR,43134,
27427,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,LEMPUING,BUMI ARJO,30675,
27428,JAWA BARAT,KAB. TASIKMALAYA,CIGALONTANG,JAYAPURA,46463,
27429,KALIMANTAN TENGAH,KAB. MURUNG RAYA,PERMATA INTAN,MUARA BAKANON,73971,
27430,JAWA TIMUR,KAB. MADIUN,KARE,KEPEL,63182,
27431,ACEH,KAB. ACEH SINGKIL,SINGKOHOR,PEA JAMBU,24773,
27432,JAWA BARAT,KAB. MAJALENGKA,BANTARUJEG,BABAKANSARI,45464,
27433,ACEH,KAB. ACEH TENGGARA,DARUL HASANAH,DARUL MAKMUR,24665,
27434,BENGKULU,KAB. SELUMA,ILIR TALO,NANTI AGUNG,38887,
27435,JAWA TENGAH,KAB. BLORA,JAPAH,KROCOK,58257,
27436,SULAWESI SELATAN,KAB. LUWU,BAJO BARAT,BONELEMO UTARA,91943,
27437,JAWA TENGAH,KAB. KENDAL,SUKOREJO,SUKOREJO,51363,
27438,BALI,KAB. TABANAN,MARGA,BERINGKIT,82181,
27439,KALIMANTAN SELATAN,KAB. BARITO KUALA,BARAMBAI,BARAMBAI KOLAM KANAN,70562,
27440,LAMPUNG,KAB. WAY KANAN,NEGERI AGUNG,GEDUNG MENENG,34768,
27441,JAWA TENGAH,KAB. WONOSOBO,MOJOTENGAH,DERODUWUR,56351,
27442,SUMATERA UTARA,KAB. TAPANULI UTARA,TARUTUNG,HUTATORUAN IV,22415,
27443,JAWA TENGAH,KAB. TEGAL,SURADADI,BOJONGSANA,52482,
27444,JAWA BARAT,KAB. KUNINGAN,CIMAHI,MARGAMUKTI,45582,
27445,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,AMUMA,SAGASAL,99052,
27446,ACEH,KAB. ACEH BESAR,MONTASIK,ATONG,23362,
27447,PAPUA PEGUNUNGAN,KAB. TOLIKARA,TIMORI,GENELUK,99434,
27448,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,ANGGANA,ANGGANA,75581,
27449,KALIMANTAN BARAT,KAB. KAPUAS HULU,EMBALOH HILIR,KELILING SEMULUNG,78754,
27450,NUSA TENGGARA TIMUR,KAB. SIKKA,ALOK BARAT,WAILITI,86114,
27451,JAWA TENGAH,KAB. SUKOHARJO,TAWANGSARI,PONOWAREN,57561,
27452,NUSA TENGGARA TIMUR,KAB. SABU RAIJUA,RAIJUA,LEDEKE,85393,
27453,JAWA TENGAH,KAB. KUDUS,JATI,GETASPEJATEN,59343,
27454,JAWA TIMUR,KAB. MOJOKERTO,PUNGGING,RANDUHARJO,61384,
27455,SUMATERA UTARA,KAB. PADANG LAWAS,SOSA,PASAR UJUNG BATU,22765,
27456,JAWA TENGAH,KAB. DEMAK,DEMPET,BALEROMO,59573,
27457,JAWA TENGAH,KAB. KARANGANYAR,JUMAPOLO,PLOSO,57783,
27458,SUMATERA SELATAN,KAB. MUSI RAWAS,PURWODADI,PURWODADI,31672,
27459,JAWA BARAT,KAB. SUKABUMI,CIKIDANG,SAMPORA,43367,
27460,SULAWESI SELATAN,KOTA MAKASSAR,RAPPOCINI,GUNUNG SARI,90221,
27461,KALIMANTAN BARAT,KAB. LANDAK,MEMPAWAH HULU,KARANGAN,78363,
27462,RIAU,KAB. INDRAGIRI HILIR,GAUNG,KUALA LAHANG,29282,
27463,LAMPUNG,KAB. LAMPUNG SELATAN,KALIANDA,KEDATON,35514,
27464,KALIMANTAN TENGAH,KAB. SERUYAN,DANAU SELULUK,ASAM BARU,74265,
27465,SULAWESI UTARA,KAB. KEPULAUAN TALAUD,ESSANG,BULUDE,95883,
27466,BENGKULU,KAB. LEBONG,TOPOS,TOPOS,39268,
27467,JAWA TENGAH,KAB. BOYOLALI,CEPOGO,WONODOYO,57362,
27468,JAWA TIMUR,KAB. BLITAR,PANGGUNGREJO,SUMBERSIH,66174,
27469,DAERAH ISTIMEWA YOGYAKARTA,KAB. GUNUNGKIDUL,NGAWEN,KAMPUNG,55853,
27470,BALI,KOTA DENPASAR,DENPASAR SELATAN,SANUR KAUH,80227,
27471,JAWA TIMUR,KAB. JOMBANG,GUDO,PUCANGRO,61463,
27472,JAWA TENGAH,KAB. GROBOGAN,GABUS,PANDANHARUM,58183,
27473,JAWA TIMUR,KAB. LAMONGAN,SAMBENG,SELOREJO,62284,
27474,ACEH,KOTA LANGSA,LANGSA TIMUR,BUKET MEUTUAH,24451,
27475,SULAWESI BARAT,KAB. MAMASA,MAMBI,SALUBANUA,91371,
27476,SUMATERA SELATAN,KAB. BANYUASIN,AIR KUMBANG,AIR KUMBANG BAKTI,30966,
27477,SUMATERA BARAT,KOTA PADANG,PADANG TIMUR,KUBU DALAM PARAK KARAKAH,25126,
27478,JAWA TENGAH,KAB. PURWOREJO,BUTUH,KALIWATUKRANGGAN,54164,
27479,SUMATERA UTARA,KAB. NIAS BARAT,SIROMBU,HINAKO,22863,
27480,JAWA TIMUR,KAB. LAMONGAN,KARANGGENENG,KAWISTOLEGI,62254,
27481,KALIMANTAN BARAT,KAB. SANGGAU,TAYAN HULU,BERAKAK,78562,
27482,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,TULUNG SELAPAN,SIMPANG TIGA ABADI,30655,
27483,ACEH,KAB. BENER MERIAH,BANDAR,TANSARAN BIDIN,24582,
27484,BANTEN,KAB. PANDEGLANG,CIPEUCANG,CIKADUEUN,42272,
27485,SULAWESI UTARA,KAB. MINAHASA TENGGARA,RATAHAN,WAWALI PASAN,95995,
27486,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,MUARA KAMAN,SABINTULUNG,75553,
27487,PAPUA PEGUNUNGAN,KAB. LANNY JAYA,BALINGGA,TIMA,99534,
27488,SUMATERA UTARA,KAB. SIMALUNGUN,UJUNG PADANG,BANGUN SORDANG,21187,
27489,KALIMANTAN BARAT,KAB. SINTANG,SUNGAI TEBELIAN,RANSI DAKAN,78655,
27490,ACEH,KAB. PIDIE,SIMPANG TIGA,ULEE BARAT,24181,
27491,PAPUA BARAT DAYA,KAB. KAIMANA,TELUK ARGUNI ATAS,TURGANI,98673,
27492,PAPUA SELATAN,KAB. ASMAT,PANTAI KASUARI,SARMAFO,99773,
27493,KALIMANTAN SELATAN,KAB. BANJAR,MARTAPURA,PASAYANGAN SELATAN,70619,
27494,JAWA TENGAH,KAB. BOYOLALI,TERAS,GUMUKREJO,57372,
27495,JAWA TENGAH,KAB. KEBUMEN,BONOROWO,BONJOKKIDUL,54396,
27496,JAWA TENGAH,KOTA MAGELANG,MAGELANG SELATAN,TIDAR SELATAN,56125,
27497,JAWA BARAT,KAB. BANDUNG BARAT,CISARUA,TUGUMUKTI,40751,
27498,ACEH,KAB. ACEH TAMIANG,BENDAHARA,BANDAR KHALIFAH,24472,
27499,JAWA TENGAH,KAB. KEBUMEN,PREMBUN,PREMBUN,54394,
27500,BENGKULU,KOTA BENGKULU,GADING CEMPAKA,CEMPAKA PERMAI,38229,
27501,NUSA TENGGARA BARAT,KAB. SUMBAWA,ORONG TELU,KELAWIS,84374,
27502,MALUKU UTARA,KAB. HALMAHERA TIMUR,WASILE,MEKAR SARI,97863,
27503,ACEH,KAB. ACEH TAMIANG,KEJURUAN MUDA,KEBUN SUNGAI LIPUT,24475,
27504,ACEH,KAB. ACEH TIMUR,IDI RAYEUK,BLANG GEULUMPANG,24454,
27505,ACEH,KAB. ACEH TIMUR,PEUREULAK TIMUR,SEUNEUBOK DALAM,24466,
27506,JAMBI,KAB. BUNGO,PELEPAT,BATU KERBAU,37262,
27507,KALIMANTAN TIMUR,KAB. PASER,TANAH GROGOT,PEPARA,76219,
27508,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,TULUNG SELAPAN,KAYUARA,30655,
27509,KALIMANTAN BARAT,KAB. SAMBAS,JAWAI,SARANG BURUNG DANAU,79454,
27510,NUSA TENGGARA TIMUR,KAB. MALAKA,MALAKA TENGAH,LAWALU,85762,
27511,BANTEN,KAB. PANDEGLANG,KORONCONG,PANIIS,42256,
27512,PAPUA SELATAN,KAB. MAPPI,MAMBIOMAN BAPAI,MONANA,99872,
27513,LAMPUNG,KAB. LAMPUNG BARAT,BELALAU,KENALI,34872,
27514,PAPUA,KAB. KEPULAUAN YAPEN,KEPULAUAN AMBAI,KAWIPI,98255,
27515,JAWA BARAT,KOTA BEKASI,MEDANSATRIA,HARAPANMULYA,17184,
27516,PAPUA TENGAH,KAB. PANIAI,YATAMO,KENIAPA,98751,
27517,BENGKULU,KAB. BENGKULU SELATAN,ULU MANNA,AIR TENAM DALAM,38579,
27518,BENGKULU,KAB. BENGKULU SELATAN,PASAR MANNA,TANJUNG MULIA,38523,
27519,JAWA BARAT,KAB. BEKASI,CIKARANG PUSAT,CICAU,17812,
27520,JAWA TENGAH,KAB. SUKOHARJO,NGUTER,GUPIT,57571,
27521,JAWA BARAT,KAB. SUMEDANG,CONGGEANG,CACABAN,45391,
27522,NUSA TENGGARA TIMUR,KAB. MANGGARAI BARAT,MBELILING,TANDONG BELANG,86762,
27523,KEPULAUAN BANGKA BELITUNG,KAB. BELITUNG,SELAT NASIK,SELAT NASIK,33481,
27524,JAWA TIMUR,KAB. BOJONEGORO,PURWOSARI,NGREJENG,62161,
27525,SUMATERA UTARA,KAB. KARO,MUNTE,SELAKKAR,22161,
27526,KALIMANTAN TIMUR,KAB. PASER,LONG KALI,LONG KALI,76283,
27527,JAWA TIMUR,KAB. NGANJUK,JATIKALEN,DLURUREJO,64492,
27528,RIAU,KAB. KUANTAN SINGINGI,KUANTAN MUDIK,SEBERANG CENGAR,29564,
27529,KALIMANTAN TIMUR,KAB. KUTAI BARAT,BARONG TONGKOK,REJO BASUKI,75711,
27530,JAWA TENGAH,KAB. JEPARA,WELAHAN,UJUNG PANDAN,59464,
27531,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,TABANG,LONG LALANG,75558,
27532,SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI,PASAR GUNUNGSITOLI,22813,
27533,JAWA TENGAH,KOTA SURAKARTA,PASAR KLIWON,KAMPUNGBARU,57111,
27534,NUSA TENGGARA TIMUR,KAB. FLORES TIMUR,ADONARA TENGAH,KENOTAN,86264,
27535,KALIMANTAN BARAT,KAB. MEMPAWAH,SIANTAN,SUNGAI NIPAH,78951,
27536,JAWA TENGAH,KAB. BREBES,JATIBARANG,TEGALWULUNG,52261,
27537,SULAWESI SELATAN,KAB. BONE,AMALI,AJANGLALENG,92791,
27538,NUSA TENGGARA TIMUR,KAB. MALAKA,MALAKA TENGAH,WEHALI,85762,
27539,RIAU,KAB. KAMPAR,TAPUNG HILIR,TAPUNG LESTARI,28466,
27540,KALIMANTAN TIMUR,KAB. BERAU,SAMBALIUNG,LONG LANUK,77371,
27541,BENGKULU,KAB. SELUMA,SEMIDANG ALAS,KAYU ELANG,38873,
27542,SULAWESI SELATAN,KAB. BULUKUMBA,BONTO TIRO,TAMALANREA,92572,
27543,LAMPUNG,KAB. WAY KANAN,BANJIT,REBANG TINGGI,34766,
27544,LAMPUNG,KAB. LAMPUNG UTARA,TANJUNG RAJA,GUNUNG KATON,34557,
27545,PAPUA BARAT DAYA,KAB. PEGUNUNGAN ARFAK,MINYAMBAOUW,-,-,
27546,JAWA BARAT,KAB. MAJALENGKA,JATIWANGI,LOJI,45454,
27547,JAWA BARAT,KAB. CIREBON,KARANGWARENG,KARANGWARENG,45695,
27548,SULAWESI UTARA,KAB. MINAHASA UTARA,LIKUPANG BARAT,TARABITAN,95378,
27549,JAWA TIMUR,KAB. MALANG,DONOMULYO,BANJAREJO,65167,
27550,JAWA TENGAH,KAB. TEMANGGUNG,PARAKAN,TEGALROSO,56254,
27551,SULAWESI UTARA,KAB. MINAHASA,PINELENG,PINELENG II,95661,
27552,SUMATERA SELATAN,KAB. EMPAT LAWANG,SALING,SAWAH,31854,
27553,JAWA BARAT,KAB. GARUT,SAMARANG,SIRNASARI,44161,
27554,LAMPUNG,KOTA BANDAR LAMPUNG,TANJUNGKARANG BARAT,SUKAJAWA BARU,35157,
27555,JAWA TENGAH,KAB. BANJARNEGARA,BATUR,KARANGTENGAH,53456,
27556,ACEH,KAB. PIDIE,DELIMA,REUSEB,24162,
27557,JAWA TIMUR,KAB. TULUNGAGUNG,KALIDAWIR,BETAK,66281,
27558,KALIMANTAN SELATAN,KOTA BANJARMASIN,BANJARMASIN SELATAN,KELAYAN TENGAH,70242,
27559,NUSA TENGGARA TIMUR,KAB. MANGGARAI,CIBAL,WELU,86591,
27560,SULAWESI TENGGARA,KAB. KONAWE UTARA,WIWIRANO,MATA OSOLE,93342,
27561,LAMPUNG,KAB. LAMPUNG UTARA,ABUNG TIMUR,BUMI JAYA,34583,
27562,LAMPUNG,KAB. LAMPUNG SELATAN,NATAR,RULUNG HELOK,35562,
27563,SULAWESI TENGAH,KAB. SIGI,PALOLO,LEMBANTONGOA,94365,
27564,JAWA TIMUR,KAB. NGANJUK,NGANJUK,KRAMAT,64419,
27565,SULAWESI SELATAN,KAB. KEPULAUAN SELAYAR,TAKA BONERATE,TAMBUNA,92864,
27566,NUSA TENGGARA BARAT,KAB. DOMPU,WOJA,NOWA,84251,
27567,BENGKULU,KAB. BENGKULU TENGAH,PEMATANG TIGA,TALANG TENGAH II,38372,
27568,NUSA TENGGARA TIMUR,KAB. MANGGARAI,REOK BARAT,NGGALAK,86593,
27569,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,PORTIBI,PORTIBI JULU,22782,
27570,SULAWESI SELATAN,KAB. WAJO,PAMMANA,PAMMANA,90971,
27571,NUSA TENGGARA TIMUR,KAB. ENDE,KELIMUTU,PEMO,86376,
27572,JAWA TENGAH,KAB. PATI,KAYEN,SLUNGKEP,59171,
27573,LAMPUNG,KAB. PESAWARAN,NEGERI KATON,PONCO KRESNO,35365,
27574,JAWA BARAT,KAB. GARUT,PAKENJENG,SUKAMULYA,44164,
27575,SUMATERA UTARA,KAB. LANGKAT,KUALA,SEI PENJARA,20772,
27576,JAWA TIMUR,KAB. PASURUAN,BANGIL,BENDOMUNGAL,67153,
27577,SUMATERA UTARA,KAB. SERDANG BEDAGAI,PERBAUNGAN,SEI NAGALAWAN,20986,
27578,KALIMANTAN SELATAN,KAB. BALANGAN,PARINGIN,LAMIDA BAWAH,71611,
27579,PAPUA SELATAN,KAB. BOVEN DIGOEL,FOFI,DOMO,99672,
27580,JAWA BARAT,KAB. MAJALENGKA,CINGAMBUL,CIKONDANG,45467,
27581,SUMATERA UTARA,KAB. LABUHANBATU SELATAN,KAMPUNG RAKYAT,TANJUNG SELAMAT,21563,
27582,JAWA BARAT,KAB. KUNINGAN,CIBINGBIN,DUKUHBADAG,45587,
27583,KALIMANTAN SELATAN,KAB. HULU SUNGAI SELATAN,TELAGA LANGSAT,GUMBIL,71292,
27584,BENGKULU,KAB. SELUMA,SELUMA TIMUR,SEMBAYAT,38885,
27585,PAPUA PEGUNUNGAN,KAB. TOLIKARA,DOW,WARKA,99443,
27586,JAWA TIMUR,KAB. MADIUN,GEGER,SARENG,63171,
27587,NUSA TENGGARA TIMUR,KAB. KUPANG,NEKAMESE,BISMARAK,85331,
27588,SUMATERA SELATAN,KAB. EMPAT LAWANG,PASEMAH AIR KERUH,TALANG PADANG,31898,
27589,ACEH,KAB. GAYO LUES,BLANGKEJEREN,DURIN,24653,
27590,JAWA BARAT,KAB. KUNINGAN,KUNINGAN,KEDUNGARUM,45513,
27591,JAWA TIMUR,KOTA BATU,JUNREJO,MOJOREJO,65322,
27592,JAWA TENGAH,KAB. SRAGEN,SAMBIREJO,SAMBI,57293,
27593,SUMATERA UTARA,KAB. SAMOSIR,PANGURURAN,TANJUNG BUNGA,22392,
27594,SUMATERA UTARA,KAB. BATU BARA,AIR PUTIH,INDRAPURA,21656,
27595,JAMBI,KAB. BUNGO,PELEPAT,SUNGAI GURUN,37262,
27596,JAWA TIMUR,KAB. SIDOARJO,TARIK,TARIK,61265,
27597,JAWA TIMUR,KAB. MOJOKERTO,NGORO,WATESNEGORO,61385,
27598,SUMATERA UTARA,KAB. TOBA,SIANTAR NARUMONDA,SIANTAR SITIO TIO,22356,
27599,SUMATERA SELATAN,KAB. OGAN ILIR,MUARA KUANG,SUKA CINTA,30865,
27600,LAMPUNG,KAB. WAY KANAN,REBANG TANGKAS,TANJUNG RAYA,34784,
27601,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,KESAWAN,20111,
27602,JAWA TENGAH,KAB. KLATEN,KARANGDOWO,PUGERAN,57464,
27603,NUSA TENGGARA BARAT,KAB. BIMA,BOLO,KANANGA,84161,
27604,DAERAH ISTIMEWA YOGYAKARTA,KAB. GUNUNGKIDUL,SEMANU,NGEPOSARI,55893,
27605,JAWA TENGAH,KOTA SURAKARTA,JEBRES,GANDEKAN,57122,
27606,BANTEN,KAB. LEBAK,WANASALAM,SUKATANI,42396,
27607,SUMATERA SELATAN,KAB. LAHAT,MERAPI TIMUR,SENGKUANG,31471,
27608,KALIMANTAN BARAT,KAB. SINTANG,KELAM PERMAI,GEMBA RAYA,78656,
27609,JAWA TENGAH,KAB. BATANG,BLADO,SELOPAJANG BARAT,51255,
27610,NUSA TENGGARA TIMUR,KAB. BELU,RAIMANUK,MANDEU,85755,
27611,PAPUA SELATAN,KAB. ASMAT,SURU-SURU,OBIO,99778,
27612,SUMATERA UTARA,KAB. DAIRI,SUMBUL,PAGAGAN JULU III,22281,
27613,SULAWESI TENGGARA,KAB. BUTON,KAPONTORI,BUKIT ASRI,93755,
27614,KALIMANTAN BARAT,KAB. KAPUAS HULU,HULU GURUNG,BUGANG,78764,
27615,JAWA TENGAH,KAB. WONOGIRI,EROMOKO,TEMPURHARJO,57663,
27616,JAWA BARAT,KAB. MAJALENGKA,LIGUNG,KEDUNGKENCANA,45456,
27617,JAWA TIMUR,KAB. MADIUN,PILANGKENCENG,PURWOREJO,63154,
27618,JAWA TIMUR,KAB. JOMBANG,PETERONGAN,KEBONTEMU,61481,
27619,NUSA TENGGARA BARAT,KAB. BIMA,BELO,SOKI,84173,
27620,KALIMANTAN TENGAH,KAB. GUNUNG MAS,TEWAH,SARE RANGAN,74552,
27621,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,UBAHAK,SUHUNTEK,99065,
27622,PAPUA BARAT DAYA,KAB. TELUK BINTUNI,MEYADO,VASCO DAMNEEN,98564,
27623,ACEH,KAB. ACEH BESAR,SEULIMEUM,BATEE LHEE,23951,
27624,SUMATERA UTARA,KAB. NIAS UTARA,LAHEWA,HILIGAWOLO,22853,
27625,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,NINIA,WAHAIK,99043,
27626,SULAWESI SELATAN,KAB. BONE,BENGO,BENGO,92792,
27627,SUMATERA SELATAN,KAB. OGAN ILIR,INDRALAYA,TALANG AUR,30819,
27628,NUSA TENGGARA TIMUR,KAB TIMOR TENGAH SELATAN,FATUMNASI,-,-,
27629,SUMATERA UTARA,KAB. TAPANULI SELATAN,SIPIROK,PARAU SORAT,22742,
27630,MALUKU UTARA,KAB. KEPULAUAN SULA,MANGOLI TIMUR,KARAMAT TITDOY,97984,
27631,JAWA BARAT,KAB. PANGANDARAN,LANGKAPLANCAR,BANGUNKARYA,46591,
27632,PAPUA PEGUNUNGAN,KAB. TOLIKARA,BOKONDINI,APIAM,99412,
27633,JAWA BARAT,KAB. SUKABUMI,CIMANGGU,SUKAMANAH,43388,
27634,KALIMANTAN BARAT,KAB. SINTANG,AMBALAU,NANGA MENANTAK,78684,
27635,KALIMANTAN TIMUR,KAB. BERAU,BIDUK-BIDUK,BIDUK-BIDUK,77373,
27636,SUMATERA UTARA,KAB. LABUHANBATU UTARA,KUALUH HULU,AEK KANOPAN TIMUR,21712,
27637,KALIMANTAN TENGAH,KAB. KATINGAN,KATINGAN TENGAH,NAPU SAHUR,74454,
27638,SUMATERA SELATAN,KAB. MUSI RAWAS,TUGUMULYO,SITI HARJO,31662,
27639,SULAWESI BARAT,KAB. POLEWALI MANDAR,CAMPALAGIAN,LAPEO,91353,
27640,JAWA TENGAH,KAB. JEPARA,PAKIS AJI,PLAJAN,59456,
27641,SUMATERA UTARA,KAB. TAPANULI UTARA,SIPAHUTAR,SABUNGANNIHUTA IV,22471,
27642,SUMATERA SELATAN,KAB. BANYUASIN,AIR KUMBANG,TELUKTENGGIRIK,30966,
27643,BALI,KAB. KARANGASEM,ABANG,PIDPID,80852,
27644,ACEH,KAB. SIMEULUE,TEUPAH BARAT,ANGKEO,23896,
27645,LAMPUNG,KAB. LAMPUNG SELATAN,KALIANDA,BUMI AGUNG,35512,
27646,SUMATERA UTARA,KAB. NIAS BARAT,SIROMBU,BAWASAWA,22863,
27647,SUMATERA SELATAN,KAB. OGAN KOMERING ULU TIMUR,MADANG SUKU I,AGUNG JATI,32362,
27648,JAWA BARAT,KAB. PURWAKARTA,BOJONG,PANGKALAN,41164,
27649,BALI,KAB. BULELENG,KUBUTAMBAHAN,BONTIHING,81172,
27650,KEPULAUAN RIAU,KAB. BINTAN,TELOK SEBONG,EKANG ANCULAI,29155,
27651,JAWA BARAT,KAB. CIREBON,PANGENAN,GETRAKMOYAN,45682,
27652,JAWA TIMUR,KAB. LAMONGAN,TURI,KARANGWEDORO,62252,
27653,JAWA BARAT,KAB. PANGANDARAN,MANGUNJAYA,MANGUNJAYA,46571,
27654,KALIMANTAN SELATAN,KAB. HULU SUNGAI UTARA,SUNGAI PANDAN,RANTAU KARAU HULU,71455,
27655,JAWA TIMUR,KAB. PONOROGO,JAMBON,SRANDIL,63456,
27656,SULAWESI TENGAH,KAB. PARIGI MOUTONG,BOLANO LAMBUNU,LAMBUNU UTARA,94482,
27657,SULAWESI SELATAN,KAB. TANA TORAJA,MAKALE UTARA,TAMBUNAN,91868,
27658,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,AIR SUGIHAN,NUSAKERTA,30656,
27659,JAWA TENGAH,KAB. KEBUMEN,KUWARASAN,SIDOMUKTI,54366,
27660,SULAWESI UTARA,KAB. MINAHASA,LEMBEAN TIMUR,PARENTEK,95685,
27661,KALIMANTAN UTARA,KAB. MALINAU,SUNGAI BOH,AGUNG BARU,77574,
27662,BENGKULU,KAB. KAUR,KELAM TENGAH,TALANG TAIS,38956,
27663,JAWA BARAT,KAB. KUNINGAN,GARAWANGI,PAKEMBANGAN,45571,
27664,JAWA TENGAH,KAB. PURWOREJO,GRABAG,NAMBANGAN,54165,
27665,SULAWESI SELATAN,KAB. LUWU,BUA,PUTY,91991,
27666,BALI,KAB. KLUNGKUNG,DAWAN,DAWAN KALER,80761,
27667,LAMPUNG,KAB. PESISIR BARAT,WAY KRUI,LABUHAN MANDI,35974,
27668,JAWA TENGAH,KAB. PURBALINGGA,PADAMARA,KARANGSENTUL,53372,
27669,KALIMANTAN BARAT,KAB. KETAPANG,NANGA TAYAP,TAJOK KAYONG,78873,
27670,BANTEN,KAB. PANDEGLANG,CIMANUK,CIMANUK,42271,
27671,JAWA TIMUR,KAB. SIDOARJO,SIDOARJO,BLURUKIDUL,61219,
27672,SULAWESI UTARA,KAB. MINAHASA SELATAN,TENGA,PAKU URE II,95955,
27673,SUMATERA SELATAN,KAB. LAHAT,SUKAMERINDU,SUKAMERINDU,31493,
27674,JAWA BARAT,KAB. BEKASI,PEBAYURAN,KERTAJAYA,17712,
27675,RIAU,KAB. KUANTAN SINGINGI,KUANTAN HILIR SEBERANG,KASANG LIMAU SUNDAI,29557,
27676,NUSA TENGGARA BARAT,KAB. LOMBOK TENGAH,PRAYA,LENENG,83515,
27677,KALIMANTAN SELATAN,KOTA BANJARMASIN,BANJARMASIN TENGAH,KELAYAN LUAR,70117,
27678,KALIMANTAN SELATAN,KAB. BARITO KUALA,MARABAHAN,ULU BENTENG,70511,
27679,JAWA BARAT,KAB. BANDUNG,SOREANG,SUKAJADI,40311,
27680,SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI,IRAONOGEBA,22818,
27681,PAPUA TENGAH,KAB. MIMIKA,KUALA KENCANA,KARANG SENANG,99968,
27682,JAWA TIMUR,KAB. SAMPANG,OMBEN,JRANGUAN,69291,
27683,MALUKU UTARA,KAB. HALMAHERA BARAT,JAILOLO SELATAN,DODINGA,97757,
27684,JAWA TENGAH,KAB. WONOSOBO,SUKOHARJO,GUMIWANG,56363,
27685,PAPUA,KAB. BIAK NUMFOR,NUMFOR TIMUR,BARKORI,98171,
27686,JAWA TIMUR,KAB. SIDOARJO,TARIK,MERGOBENER,61265,
27687,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,PASSI TIMUR,MANEMBO,95758,
27688,SULAWESI TENGGARA,KAB. KONAWE,KONAWE,SANGGONA,93451,
27689,KALIMANTAN TIMUR,KOTA SAMARINDA,SAMBUTAN,SINDANG SARI,75115,
27690,JAWA TENGAH,KAB. WONOSOBO,KERTEK,WRINGINANOM,56371,
27691,JAWA TENGAH,KAB. TEMANGGUNG,KALORAN,GANDON,56282,
27692,SUMATERA UTARA,KAB. BATU BARA,LIMA PULUH,ANTARA,21655,
27693,SUMATERA UTARA,KAB. TAPANULI TENGAH,BADIRI,JAGO JAGO,22657,
27694,KALIMANTAN TENGAH,KAB. KATINGAN,SANAMAN MANTIKEI,DEHES,74455,
27695,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,PORTIBI,GUMARUPU BARU,22782,
27696,SUMATERA SELATAN,KAB. OGAN ILIR,RANTAU ALAI,SANDING MARGA,30866,
27697,MALUKU,KAB. MALUKU BARAT DAYA,KEPULAUAN ROMANG,-,-,
27698,SUMATERA SELATAN,KAB. LAHAT,PAGAR GUNUNG,KEDATON,31466,
27699,MALUKU UTARA,KAB. HALMAHERA TIMUR,WASILE SELATAN,NUSA JAYA,97864,
27700,JAWA TIMUR,KAB. SAMPANG,TORJUN,BRINGINNONGGAL,69271,
27701,PAPUA SELATAN,KAB. ASMAT,SURU-SURU,AJIN,99778,
27702,SULAWESI UTARA,KAB. MINAHASA SELATAN,TATAPAAN,WAWONA,95951,
27703,KALIMANTAN BARAT,KAB. SINTANG,SINTANG,LADANG,78612,
27704,JAWA TENGAH,KAB. TEMANGGUNG,TEMANGGUNG,WALITELON SELATAN,56219,
27705,SUMATERA UTARA,KAB. MANDAILING NATAL,NATAL,SIKARA KARA II,22987,
27706,SULAWESI UTARA,KOTA MANADO,TUMINITING,MAHAWU,95239,
27707,BANTEN,KAB. SERANG,CIOMAS,CISITU,42164,
27708,JAWA TIMUR,KAB. LAMONGAN,SUKODADI,SUKODADI,62253,
27709,KALIMANTAN BARAT,KAB. MELAWI,SOKAN,SEPAKAT,78675,
27710,JAWA TIMUR,KOTA SURABAYA,BUBUTAN,TEMBOK DUKUH,60173,
27711,JAWA BARAT,KAB. CIREBON,MUNDU,SUCI,45673,
27712,JAWA TENGAH,KAB. MAGELANG,SRUMBUNG,SUDIMORO,56583,
27713,ACEH,KAB. ACEH TENGAH,BEBESEN,SIMPANG IV,24552,
